County,State,Pollutant,Trend Statistic,total_trend_sites,avg_last5
Austin County,TX,SO2,99th Percentile,2.0,10.4
Autauga County,AL,O3,4th Max,2.0,0.058199999999999995
Baker County,FL,NO2,Annual Mean,1.0,6.2
Baker County,FL,O3,4th Max,2.0,0.06
Baker County,FL,PM2.5,98th Percentile,2.0,14.6
Baker County,FL,PM2.5,Weighted Annual Mean,2.0,6.960000000000001
Baker County,FL,SO2,99th Percentile,2.0,29.0
Baldwin County,AL,O3,4th Max,1.0,0.0608
Baldwin County,AL,PM2.5,98th Percentile,1.0,16.0
Baldwin County,AL,PM2.5,Weighted Annual Mean,1.0,7.5200000000000005
Ballard County,KY,NO2,98th Percentile,1.0,30.0
Ballard County,KY,NO2,Annual Mean,1.0,4.6
Ballard County,KY,O3,4th Max,2.0,0.06520000000000001
Ballard County,KY,SO2,99th Percentile,1.0,10.8
Baltimore County,MD,CO,2nd Max,1.0,1.42
Baltimore County,MD,NO2,98th Percentile,1.0,49.8
Baltimore County,MD,NO2,Annual Mean,1.0,12.0
Baltimore County,MD,O3,4th Max,5.0,0.0688
Baltimore County,MD,PM2.5,98th Percentile,4.0,19.8
Baltimore County,MD,PM2.5,Weighted Annual Mean,4.0,7.519999999999999
Baltimore city,MD,CO,2nd Max,1.0,1.42
Baltimore city,MD,NO2,98th Percentile,1.0,49.8
Baltimore city,MD,NO2,Annual Mean,1.0,12.0
Baltimore city,MD,O3,4th Max,5.0,0.0688
Baltimore city,MD,PM2.5,98th Percentile,4.0,19.8
Baltimore city,MD,PM2.5,Weighted Annual Mean,4.0,7.519999999999999
Bandera County,TX,NO2,98th Percentile,1.0,34.2
Bandera County,TX,NO2,Annual Mean,1.0,4.4
Bandera County,TX,O3,4th Max,3.0,0.07160000000000001
Bandera County,TX,PM10,2nd Max,1.0,62.2
Bannock County,ID,PM10,2nd Max,1.0,93.6
Barceloneta Municipio,PR,PM10,2nd Max,1.0,100.6
Barceloneta Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Barceloneta Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Barnstable County,MA,O3,4th Max,1.0,0.0636
Barranquitas Municipio,PR,PM10,2nd Max,1.0,100.6
Barranquitas Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Barranquitas Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Barrow County,GA,O3,4th Max,9.0,0.066
Barrow County,GA,PM2.5,98th Percentile,4.0,20.2
Barrow County,GA,PM2.5,Weighted Annual Mean,4.0,8.66
Barrow County,GA,SO2,99th Percentile,1.0,4.2
Barry County,MI,CO,2nd Max,1.0,1.22
Barry County,MI,O3,4th Max,3.0,0.0688
Barry County,MI,PM10,2nd Max,1.0,63.0
Barry County,MI,PM2.5,98th Percentile,1.0,25.0
Barry County,MI,PM2.5,Weighted Annual Mean,1.0,8.76
Bartow County,GA,O3,4th Max,9.0,0.066
Bartow County,GA,PM2.5,98th Percentile,4.0,20.2
Bartow County,GA,PM2.5,Weighted Annual Mean,4.0,8.66
Bartow County,GA,SO2,99th Percentile,1.0,4.2
Bastrop County,TX,O3,4th Max,2.0,0.06720000000000001
Bastrop County,TX,PM10,2nd Max,1.0,66.0
Bates County,MO,CO,2nd Max,1.0,0.9400000000000001
Bates County,MO,NO2,Annual Mean,2.0,9.6
Bates County,MO,O3,4th Max,5.0,0.0664
Bates County,MO,PM2.5,98th Percentile,3.0,19.2
Bates County,MO,PM2.5,Weighted Annual Mean,3.0,7.260000000000001
Bates County,MO,SO2,99th Percentile,2.0,6.8
Bay County,FL,O3,4th Max,1.0,0.0588
Bay County,MI,PM2.5,98th Percentile,1.0,19.2
Bay County,MI,PM2.5,Weighted Annual Mean,1.0,6.7
Bayamón Municipio,PR,PM10,2nd Max,1.0,100.6
Bayamón Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Bayamón Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Beaver County,PA,NO2,98th Percentile,2.0,34.8
Beaver County,PA,NO2,Annual Mean,2.0,7.2
Beaver County,PA,O3,4th Max,10.0,0.063
Beaver County,PA,PM10,2nd Max,5.0,51.239999999999995
Beaver County,PA,PM2.5,98th Percentile,10.0,21.8
Beaver County,PA,PM2.5,Weighted Annual Mean,10.0,8.6
Beaver County,PA,SO2,99th Percentile,5.0,19.8
Belknap County,NH,O3,4th Max,1.0,0.0558
Belknap County,NH,PM2.5,98th Percentile,1.0,13.0
Belknap County,NH,PM2.5,Weighted Annual Mean,1.0,4.42
Bell County,KY,O3,4th Max,1.0,0.0578
Bell County,KY,PM2.5,98th Percentile,1.0,19.6
Bell County,KY,PM2.5,Weighted Annual Mean,1.0,8.419999999999998
Belmont County,OH,O3,4th Max,1.0,0.062
Belmont County,OH,PM2.5,98th Percentile,1.0,24.0
Belmont County,OH,PM2.5,Weighted Annual Mean,1.0,9.559999999999999
Belmont County,OH,SO2,99th Percentile,1.0,8.6
Bennington County,VT,O3,4th Max,1.0,0.0588
Benton County,IA,O3,4th Max,1.0,0.064
Benton County,IN,O3,4th Max,1.0,0.0658
Benton County,MN,PM2.5,98th Percentile,1.0,22.4
Benton County,MN,PM2.5,Weighted Annual Mean,1.0,7.18
Benton County,MS,O3,4th Max,4.0,0.0674
Benzie County,MI,O3,4th Max,1.0,0.06620000000000001
Bergen County,NJ,CO,2nd Max,4.0,1.5399999999999998
Bergen County,NJ,NO2,98th Percentile,3.0,47.0
Bergen County,NJ,NO2,Annual Mean,4.0,12.8
Bergen County,NJ,O3,4th Max,16.0,0.0668
Bergen County,NJ,PM10,2nd Max,1.0,33.4
Bergen County,NJ,PM2.5,98th Percentile,10.0,20.6
Bergen County,NJ,PM2.5,Weighted Annual Mean,10.0,7.44
Bergen County,NJ,SO2,99th Percentile,7.0,4.8
Berkeley County,SC,NO2,Annual Mean,1.0,6.2
Berkeley County,SC,O3,4th Max,1.0,0.056799999999999996
Berkeley County,SC,PM10,2nd Max,1.0,49.0
Berkeley County,SC,PM2.5,98th Percentile,2.0,15.4
Berkeley County,SC,PM2.5,Weighted Annual Mean,2.0,6.959999999999999
Berkeley County,SC,SO2,99th Percentile,1.0,10.4
Berkeley County,WV,O3,4th Max,2.0,0.0608
Berkeley County,WV,PM2.5,98th Percentile,2.0,22.4
Berkeley County,WV,PM2.5,Weighted Annual Mean,2.0,7.840000000000001
Bernalillo County,NM,CO,2nd Max,1.0,0.8800000000000001
Bernalillo County,NM,NO2,98th Percentile,1.0,43.2
Bernalillo County,NM,NO2,Annual Mean,1.0,8.4
Bernalillo County,NM,O3,4th Max,3.0,0.0694
Bernalillo County,NM,PM10,2nd Max,2.0,169.4
Bernalillo County,NM,PM2.5,98th Percentile,1.0,13.8
Bernalillo County,NM,PM2.5,Weighted Annual Mean,1.0,5.220000000000001
Berrien County,MI,O3,4th Max,1.0,0.07300000000000001
Bexar County,TX,NO2,98th Percentile,1.0,34.2
Bexar County,TX,NO2,Annual Mean,1.0,4.4
Bexar County,TX,O3,4th Max,3.0,0.07160000000000001
Bexar County,TX,PM10,2nd Max,1.0,62.2
Bibb County,AL,CO,2nd Max,1.0,1.0
Bibb County,AL,O3,4th Max,7.0,0.0646
Bibb County,AL,PM10,2nd Max,4.0,58.42
Bibb County,AL,PM2.5,98th Percentile,3.0,18.4
Bibb County,AL,PM2.5,Weighted Annual Mean,3.0,8.94
Bibb County,AL,SO2,99th Percentile,1.0,6.8
Bibb County,GA,O3,4th Max,1.0,0.0616
Bibb County,GA,PM2.5,98th Percentile,2.0,20.6
Bibb County,GA,PM2.5,Weighted Annual Mean,2.0,8.580000000000002
Billings County,ND,O3,4th Max,1.0,0.0606
Billings County,ND,PM2.5,98th Percentile,1.0,19.2
Billings County,ND,PM2.5,Weighted Annual Mean,1.0,5.06
Billings County,ND,SO2,99th Percentile,1.0,5.2
Black Hawk County,IA,O3,4th Max,1.0,0.0638
Blair County,PA,O3,4th Max,1.0,0.0636
Blair County,PA,SO2,99th Percentile,1.0,5.4
Blount County,AL,CO,2nd Max,1.0,1.0
Blount County,AL,O3,4th Max,7.0,0.0646
Blount County,AL,PM10,2nd Max,4.0,58.42
Blount County,AL,PM2.5,98th Percentile,3.0,18.4
Blount County,AL,PM2.5,Weighted Annual Mean,3.0,8.94
Blount County,AL,SO2,99th Percentile,1.0,6.8
Blount County,TN,O3,4th Max,5.0,0.0606
Boise County,ID,CO,2nd Max,1.0,1.28
Boise County,ID,PM10,2nd Max,2.0,94.1
Bolivar County,MS,O3,4th Max,1.0,0.0632
Bond County,IL,NO2,98th Percentile,1.0,38.8
Bond County,IL,NO2,Annual Mean,1.0,8.8
Bond County,IL,O3,4th Max,9.0,0.069
Bond County,IL,PM2.5,98th Percentile,2.0,21.0
Bond County,IL,PM2.5,Weighted Annual Mean,2.0,8.4
Bond County,IL,Pb,Max 3-Month Average,2.0,0.06
Bond County,IL,SO2,99th Percentile,3.0,8.2
Bonneville County,ID,O3,4th Max,1.0,0.0628
Boone County,AR,O3,4th Max,1.0,0.061
Boone County,IL,O3,4th Max,1.0,0.06920000000000001
Boone County,IN,O3,4th Max,5.0,0.0666
Boone County,IN,PM10,2nd Max,1.0,71.6
Boone County,IN,PM2.5,98th Percentile,3.0,27.2
Boone County,IN,PM2.5,Weighted Annual Mean,3.0,10.66
Boone County,IN,SO2,99th Percentile,1.0,6.2
Boone County,KY,O3,4th Max,9.0,0.068
Boone County,KY,PM10,2nd Max,2.0,44.4
Boone County,KY,PM2.5,98th Percentile,4.0,22.2
Boone County,KY,PM2.5,Weighted Annual Mean,4.0,9.24
Boone County,WV,O3,4th Max,1.0,0.0616
Boone County,WV,PM2.5,98th Percentile,1.0,17.0
Boone County,WV,PM2.5,Weighted Annual Mean,1.0,7.720000000000001
Bossier Parish,LA,O3,4th Max,2.0,0.0602
Botetourt County,VA,NO2,98th Percentile,1.0,32.0
Botetourt County,VA,NO2,Annual Mean,1.0,5.0
Botetourt County,VA,O3,4th Max,1.0,0.0588
Botetourt County,VA,SO2,99th Percentile,1.0,3.0
Boulder County,CO,PM10,2nd Max,2.0,47.1
Boulder County,CO,PM2.5,98th Percentile,2.0,23.2
Boulder County,CO,PM2.5,Weighted Annual Mean,2.0,6.8
Bourbon County,KY,NO2,98th Percentile,1.0,40.4
Bourbon County,KY,NO2,Annual Mean,1.0,5.8
Bourbon County,KY,O3,4th Max,2.0,0.0636
Bourbon County,KY,PM2.5,98th Percentile,1.0,19.6
Bourbon County,KY,PM2.5,Weighted Annual Mean,1.0,7.62
Bourbon County,KY,SO2,99th Percentile,1.0,3.4
Boyd County,KY,NO2,98th Percentile,1.0,28.0
Boyd County,KY,NO2,Annual Mean,1.0,5.2
Boyd County,KY,O3,4th Max,3.0,0.05820000000000001
Boyd County,KY,PM10,2nd Max,1.0,48.2
Boyd County,KY,PM2.5,98th Percentile,1.0,18.0
Boyd County,KY,PM2.5,Weighted Annual Mean,1.0,7.159999999999999
Boyd County,KY,SO2,99th Percentile,2.0,6.4
Bracken County,KY,O3,4th Max,9.0,0.068
Bracken County,KY,PM10,2nd Max,2.0,44.4
Bracken County,KY,PM2.5,98th Percentile,4.0,22.2
Bracken County,KY,PM2.5,Weighted Annual Mean,4.0,9.24
Brantley County,GA,O3,4th Max,1.0,0.055999999999999994
Brantley County,GA,PM2.5,98th Percentile,1.0,18.2
Brantley County,GA,PM2.5,Weighted Annual Mean,1.0,7.9
Brazoria County,TX,CO,2nd Max,1.0,1.16
Brazoria County,TX,NO2,98th Percentile,8.0,37.0
Brazoria County,TX,NO2,Annual Mean,10.0,7.2
Brazoria County,TX,O3,4th Max,15.0,0.07260000000000001
Brazoria County,TX,PM10,2nd Max,4.0,64.92
Brazoria County,TX,PM2.5,98th Percentile,3.0,22.8
Brazoria County,TX,PM2.5,Weighted Annual Mean,3.0,10.26
Brazoria County,TX,SO2,99th Percentile,2.0,10.4
Bremer County,IA,O3,4th Max,1.0,0.0638
Brevard County,FL,O3,4th Max,2.0,0.0588
Brevard County,FL,PM2.5,98th Percentile,1.0,15.0
Brevard County,FL,PM2.5,Weighted Annual Mean,1.0,6.6
Bristol County,MA,CO,2nd Max,1.0,0.9
Bristol County,MA,O3,4th Max,3.0,0.0658
Bristol County,MA,PM10,2nd Max,1.0,22.6
Bristol County,MA,PM2.5,98th Percentile,4.0,16.6
Bristol County,MA,PM2.5,Weighted Annual Mean,4.0,6.16
Bristol County,MA,SO2,99th Percentile,1.0,3.2
Bristol County,RI,CO,2nd Max,1.0,0.9
Bristol County,RI,O3,4th Max,3.0,0.0658
Bristol County,RI,PM10,2nd Max,1.0,22.6
Bristol County,RI,PM2.5,98th Percentile,4.0,16.6
Bristol County,RI,PM2.5,Weighted Annual Mean,4.0,6.16
Bristol County,RI,SO2,99th Percentile,1.0,3.2
Bristol city,VA,O3,4th Max,2.0,0.0618
Bristol city,VA,PM2.5,98th Percentile,1.0,15.4
Bristol city,VA,PM2.5,Weighted Annual Mean,1.0,6.859999999999999
Bronx County,NY,CO,2nd Max,4.0,1.5399999999999998
Bronx County,NY,NO2,98th Percentile,3.0,47.0
Bronx County,NY,NO2,Annual Mean,4.0,12.8
Bronx County,NY,O3,4th Max,16.0,0.0668
Bronx County,NY,PM10,2nd Max,1.0,33.4
Bronx County,NY,PM2.5,98th Percentile,10.0,20.6
Bronx County,NY,PM2.5,Weighted Annual Mean,10.0,7.44
Bronx County,NY,SO2,99th Percentile,7.0,4.8
Brooke County,WV,O3,4th Max,1.0,0.0624
Brooke County,WV,PM10,2nd Max,3.0,50.0
Brooke County,WV,PM2.5,98th Percentile,2.0,19.4
Brooke County,WV,PM2.5,Weighted Annual Mean,2.0,8.62
Brooke County,WV,SO2,99th Percentile,6.0,27.399999999999995
Brooks County,GA,PM2.5,98th Percentile,1.0,19.2
Brooks County,GA,PM2.5,Weighted Annual Mean,1.0,8.4
Broomfield County,CO,CO,2nd Max,2.0,1.4600000000000002
Broomfield County,CO,NO2,Annual Mean,2.0,15.8
Broomfield County,CO,O3,4th Max,5.0,0.0782
Broomfield County,CO,PM10,2nd Max,2.0,72.5
Broomfield County,CO,PM2.5,98th Percentile,2.0,21.8
Broomfield County,CO,PM2.5,Weighted Annual Mean,2.0,6.540000000000001
Broomfield County,CO,SO2,99th Percentile,2.0,5.6
Broward County,FL,CO,2nd Max,1.0,1.08
Broward County,FL,NO2,98th Percentile,2.0,38.0
Broward County,FL,NO2,Annual Mean,3.0,4.8
Broward County,FL,O3,4th Max,4.0,0.05940000000000001
Broward County,FL,PM2.5,98th Percentile,3.0,17.0
Broward County,FL,PM2.5,Weighted Annual Mean,3.0,6.540000000000002
Broward County,FL,SO2,99th Percentile,1.0,2.0
Brown County,IN,O3,4th Max,5.0,0.0666
Brown County,IN,PM10,2nd Max,1.0,71.6
Brown County,IN,PM2.5,98th Percentile,3.0,27.2
Brown County,IN,PM2.5,Weighted Annual Mean,3.0,10.66
Brown County,IN,SO2,99th Percentile,1.0,6.2
Brown County,OH,O3,4th Max,9.0,0.068
Brown County,OH,PM10,2nd Max,2.0,44.4
Brown County,OH,PM2.5,98th Percentile,4.0,22.2
Brown County,OH,PM2.5,Weighted Annual Mean,4.0,9.24
Brown County,WI,O3,4th Max,2.0,0.0668
Brown County,WI,PM2.5,98th Percentile,1.0,23.2
Brown County,WI,PM2.5,Weighted Annual Mean,1.0,7.340000000000001
Brown County,WI,SO2,99th Percentile,1.0,5.6
Brunswick County,NC,O3,4th Max,1.0,0.06
Bryan County,GA,O3,4th Max,1.0,0.058199999999999995
Bryan County,GA,SO2,99th Percentile,1.0,27.8
Bucks County,PA,CO,2nd Max,1.0,0.96
Bucks County,PA,NO2,98th Percentile,1.0,41.0
Bucks County,PA,NO2,Annual Mean,2.0,9.0
Bucks County,PA,O3,4th Max,12.0,0.0664
Bucks County,PA,PM2.5,98th Percentile,9.0,20.4
Bucks County,PA,PM2.5,Weighted Annual Mean,9.0,7.640000000000001
Bucks County,PA,SO2,99th Percentile,2.0,5.8
Bullitt County,KY,O3,4th Max,5.0,0.0654
Bullitt County,KY,SO2,99th Percentile,3.0,8.0
Buncombe County,NC,O3,4th Max,4.0,0.0616
Buncombe County,NC,PM2.5,98th Percentile,1.0,15.8
Buncombe County,NC,PM2.5,Weighted Annual Mean,1.0,5.9799999999999995
Burke County,GA,O3,4th Max,3.0,0.05939999999999999
Burke County,GA,PM2.5,98th Percentile,2.0,20.8
Burke County,GA,PM2.5,Weighted Annual Mean,2.0,8.7
Burke County,NC,O3,4th Max,2.0,0.0602
Burke County,NC,PM2.5,98th Percentile,1.0,19.2
Burke County,NC,PM2.5,Weighted Annual Mean,1.0,8.26
Burleigh County,ND,NO2,Annual Mean,1.0,2.0
Burleigh County,ND,O3,4th Max,1.0,0.0616
Burleigh County,ND,PM2.5,98th Percentile,1.0,29.6
Burleigh County,ND,PM2.5,Weighted Annual Mean,1.0,7.24
Burleigh County,ND,SO2,99th Percentile,1.0,10.4
Burlington County,NJ,CO,2nd Max,1.0,0.96
Burlington County,NJ,NO2,98th Percentile,1.0,41.0
Burlington County,NJ,NO2,Annual Mean,2.0,9.0
Burlington County,NJ,O3,4th Max,12.0,0.0664
Burlington County,NJ,PM2.5,98th Percentile,9.0,20.4
Burlington County,NJ,PM2.5,Weighted Annual Mean,9.0,7.640000000000001
Burlington County,NJ,SO2,99th Percentile,2.0,5.8
Butler County,KS,NO2,Annual Mean,2.0,5.0
Butler County,KS,O3,4th Max,2.0,0.064
Butler County,KS,PM10,2nd Max,1.0,82.8
Butler County,KS,PM2.5,98th Percentile,2.0,21.4
Butler County,KS,PM2.5,Weighted Annual Mean,2.0,8.4
Butler County,KS,SO2,99th Percentile,1.0,3.0
Butler County,KY,O3,4th Max,1.0,0.0618
Butler County,OH,O3,4th Max,9.0,0.068
Butler County,OH,PM10,2nd Max,2.0,44.4
Butler County,OH,PM2.5,98th Percentile,4.0,22.2
Butler County,OH,PM2.5,Weighted Annual Mean,4.0,9.24
Butler County,PA,NO2,98th Percentile,2.0,34.8
Butler County,PA,NO2,Annual Mean,2.0,7.2
Butler County,PA,O3,4th Max,10.0,0.063
Butler County,PA,PM10,2nd Max,5.0,51.239999999999995
Butler County,PA,PM2.5,98th Percentile,10.0,21.8
Butler County,PA,PM2.5,Weighted Annual Mean,10.0,8.6
Butler County,PA,SO2,99th Percentile,5.0,19.8
Butte County,CA,O3,4th Max,2.0,0.0668
Butte County,ID,O3,4th Max,1.0,0.0628
Butts County,GA,O3,4th Max,9.0,0.066
Butts County,GA,PM2.5,98th Percentile,4.0,20.2
Butts County,GA,PM2.5,Weighted Annual Mean,4.0,8.66
Butts County,GA,SO2,99th Percentile,1.0,4.2
Cabarrus County,NC,NO2,98th Percentile,1.0,35.2
Cabarrus County,NC,NO2,Annual Mean,1.0,6.6
Cabarrus County,NC,O3,4th Max,6.0,0.0644
Cabarrus County,NC,PM2.5,98th Percentile,1.0,18.8
Cabarrus County,NC,PM2.5,Weighted Annual Mean,1.0,8.080000000000002
Cabell County,WV,NO2,98th Percentile,1.0,28.0
Cabell County,WV,NO2,Annual Mean,1.0,5.2
Cabell County,WV,O3,4th Max,3.0,0.05820000000000001
Cabell County,WV,PM10,2nd Max,1.0,48.2
